tweet
De l’amour ♥️ https://twitter.com/UHomophobie/status/1076191813197881345 …
Retrouvez mon interview au JDD de ce dimanche. https://www.lejdd.fr/Politique/exclusif-christiane-taubira-la-politique-ce-nest-pas-la-charite-3821549 …
#Noustoutes parce que pour chacune ces violences sont un drame et que la compassion ne suffit pas. #Noustoutes pour que nos petites-filles n'imaginent même pas que des femmes aient pu en mourir. Agir! A bonne mesure...  ChT https://www.change.org/p/nous-marcherons-le-24-novembre-contre-les-violences-sexistes-et-sexuelles?source_location=movement …
"#AsiaBibi, libre enfin! C'était une cause tellement juste et nous avons tellement désiré que justice soit dite. Les institutions sont bien ce qui protège contre la force, les irrationalités et les fanatismes ChT"
"#JournéeInternationaleduKréyol Dapré mo nou pa djè gaya ankô. Qui soutient nos artistes, explorateurs têtus des langues, des cultures et des imaginaires? Tan folklor pasé. Nou pou doubout a soléy, savé kimoun nou sa ké tou sa nou ja bay, dépi tan Djab té toupiti ChT #Creole"
"#PoovanaaAOopa réhabilité par la @Courdecassation. La justice,enfin! Oui il arrive que ce soit long très long... Émotion pour l'homme et son honneur, ses descendants et au-delà tous les Polynésiens. J'ai voulu un processus rigoureux et méticuleux. Une pensée pour mon équipe ChT pic.twitter.com/uPcLZdXksv"
Il paraît que les chiffres ont baissé. C'est leur affaire. Chaque agression est une de trop. Et chaque discrimination justifie toutes les autres. Il n'est question ni de capituler ni de nous y habituer ChT #LGBTPhobies #VivreSansHaine #LibreEtVisible @SOShomophobie @InterLGBT pic.twitter.com/balqENOfKn
"Leçon inaugurale d'Amos Gitaï au #CollegedeFrance, c'était intelligent, érudit, spirituel et tellement accessible! Des idées fortes et belles servies par des mots simples et clairs. Et des images puissantes. De l'oxygène naissant ChT @cdf1530"
"FÉLICITATIONS chaleureuses et amicales à Maryse Condé, lauréate du prix Nobel alternatif de littérature. La vie n'est pas toujours scélérate, elle réserve des merveilles et nous donne parfois le coeur à rire...ou à pleurer d'émotion ChT"
"Pour l'abolition universelle de la peine de mort, avec la @coalitionPDM , ""Je vote l'abolition pure, simple et définitive de la peine de mort"". Victor Hugo. Nous aussi, dans les pays qui tardent encore. 5/5 ChT"
"‘’Demain, grâce à vous, la justice française ne sera pas une justice qui tue. Demain, grâce à vous il n’y aura plus, pour notre honte commune, d’exécutions furtives, à l’aube, sous le dais noir, dans les prisons françaises’’. R. Badinter, Assemblée nationale 17/09/1981 – 4/5 ChT"
"’La peine de mort est le signe spécial et éternel de la barbarie… Vous ne l’abolirez pas peut-être aujourd’hui, mais n’en doutez pas, vous l’abolirez ou vos successeurs l’aboliront demain !’’ Victor Hugo, Assemblée nationale 15/09/1848 – 3/5  ChT"
"’To take a life when a life has been lost is revenge, not justice.’’  ‘’Prendre une vie contre une autre vie, c’est de la revanche, pas la justice.’’ South-African archbishop Desmond Tutu 31/05/1989 -2/5  ChT"
"Vous allez enfin descendre dans ces sombres régions des crimes et des supplices…’’ Le Pelletier de Saint-Fargeau, Assemblée constituante 23/05/1791. ‘’Mais qu’est-ce donc que la peine capitale, sinon le plus prémédité des meurtres…?’’ Albert Camus- 1/5 ChT"
"#violencesconjugales #violencessexistes, crûment ces cruautés sont bien les pires archaïsmes, la marque brutale de l’impuissance, un infâme aveu de faiblesse. La force à la place des mots, un échec toujours. URGENCE ! Entier soutien #SauvonsLes cc @MurielRobinCOM @EvaDarlan  ChT"
« Nous irons vers d’autres victoires. Et nous chanterons aux basses eaux L’inépuisable chanson de l’aurore. » #TolerantiaAwards2018 @SOShomophobie pic.twitter.com/zozcJxndMr
"« Vous évoquez notre victoire en 2013, après de longs combats. Je veux saluer @DBertinotti et @erwannbinet. Les victoires sont toujours collectives. »  #TolerantiaAwards2018 @SOShomophobie"
"« Ça gesticule et parle fort. Ça joue les divas, les ténors de la bêtise. Moi les lazzi, les quolibets Me laissent froid puisque c'est vrai. Je suis un homo comme ils disent.» C’était Aznavour, il y a 40 ans. Remise du prix contre l’homophobie #TolerantiaAwards2018 @SOShomophobie"
"#VIeRépublique Ce n'est pas un slogan. Contre-pouvoirs, espaces pr la parole citoyenne, statut des langues et cultures régionales, moyens pérenne pr les missions d'Etat, partages de souveraineté en Europe, engagements internationaux.. C'est un enjeu démocratique #Constitution ChT"
"Pour aujourd'hui et pour demain, pour nous-mêmes et pour nos enfants, pour notre conscience et notre mémoire : être simplement à la hauteur. J'approuve et je soutiens.  https://www.politis.fr/articles/2018/09/manifeste-pour-laccueil-des-migrants-39366/ … #Aquarius  ChT"
"#Martinique et #Guadeloupe en #vigilance rouge pour #ISAAC. Mille pensées de solidarité et d'affection pour vous toutes et tous qui, une fois de plus, ferez face avec courage et filozofi  ChT"
"Dear @ArethaFranklin, last time it was at the White House, for the #2016 @IntlJazzDay. We were all like #POTUS Obama and First Lady Michelle: both deeply moved and widely enthusiastic since the very moment you came on stage. We'll never give you enough thanks ChT"
"#JusticepourAdama Il ne devrait pas être trop difficile à la Justice d’être juste, diligente sans précipitation, de préserver les institutions en vérifiant les faits et les actes, de prononcer le Droit. C’est là sa part pour que nous soyons égaux ChT"
"#Mandela C’est quoi un siècle? Un homme se dresse face à un Etat raciste et violent, le défie, toise la mort, casse des roches 27 ans durant à Robben Island, en sort le poing levé le regard intense le sourire doux! Ce qui le tient? #Ubuntu Je-Nous. Madiba inaltérable en nous ChT"
"@equipedefrance Bravo à ces joyeux gaillards, âmes bien nées, qui auront encore un ballon dans les pattes pendant un moment et qui seront encore dans nos pattes pendant longtemps. Pardon de vous froisser, c’est pour vous refroidir la tête, nous nous l’avons trop chaude ChT"
