tweet
"Notre France ne sera jamais celle de Zemmour et des déclinistes, nostalgiques d’une société patriarcale qui n’est plus, persuadés que c’était mieux hier et que ce sera pire demain. Notre France c’est celle d’une Marie Curie, d’une Genevieve Anthonioz-Gaulle, d’une Simone Veil! pic.twitter.com/i0dqVDB1YE"
"Le #NouveauRéseauBusParisien, c’est : la création de nouvelles lignes, de nouvelles liaisons, et une répartition des lignes mieux adaptée 👉 10 000 agents RATP seront mobilisés pour vous guider ! ➡️  http://bit.ly/2BpsZXE  pic.twitter.com/kRYRMT0dAL"
"Pour construire et préparer cette alternance, j’ai besoin de vous. #voeuxLibres pic.twitter.com/rtNddX3Np1"
Ensemble incarnons le renouveau. Ensemble plus que jamais @SoyonsLibres ! Ensemble soyons prêts ! #voeuxLibres pic.twitter.com/MvmHdqSFNL
"En clair, ni le conseiller de Donald Trump Steve Banon, avec lequel Marine Le Pen aime tant s’afficher, ni Matteo Salvini, ni Victor Orban ne sont nos sources d’inspiration. #voeuxLibres pic.twitter.com/HDBSkD553i"
"L’#Europe que nous voulons, elle n’est pas fédéraliste, elle respecte l’identité des peuples qui la composent, mais elle est fédératrice. #voeuxLibres pic.twitter.com/b0Y1H8vypN"
"Je souhaite une #Europe qui ne cède pas à la pression du Royaume-Uni, car quand on la quitte, cela doit être douloureux ! #voeuxLibres pic.twitter.com/SHmU5YOx15"
"Ensemble, nous devons être prêts. Prêts à incarner une alternance pour la France. Prêts à rassembler, les conservateurs et les progressistes. Je veux porter un autre projet pour la France. #voeuxLibres pic.twitter.com/EqrM3zjF3S"
"J’ai la conviction que jamais la France n’a eu autant besoin des solutions de la droite, une droite forte et sociale. #voeuxLibres pic.twitter.com/wo0RymWTqP"
"Prenons garde qu’un tel #référendum ne vienne affaiblir encore nos institutions, qui sont aujourd’hui le seul rempart qui demeure, dans une République menacée. #voeuxLibres pic.twitter.com/SZsu5P0oV9"
"""Un gouvernement déconnecté. Un gouvernement du temps perdu. Et ce n’est pas avec trois mois de #GrandDébatNational, en forme de campagne électorale en direct sur toutes les chaines d’info, qu’on remettra les pendules à l’heure."" #voeuxLibres pic.twitter.com/YWgQndtMoh"
"""Mais face à la situation que connaît le pays, il est aussi urgent de dénoncer l’impasse dans laquelle nous entraînent l’indécision, l’aveuglement et l’arrogance technocratique d’Emmanuel #Macron et de son Gouvernement"" - @vpecresse #voeuxLibres pic.twitter.com/orpDqTE8rX"
"""Mélenchon, Le Pen, Dupont-Aignan : le même visage d’une France en faillite, d’institutions Républicaines déstabilisées, d’une loi commune bafouée, de Français dressés les uns contre les autres dans la rancœur et le ressentiment"" - @vpecresse #voeuxLibres pic.twitter.com/QBE8AmXYA6"
"""L’ordre ou le désordre, la loi ou les émeutiers. Avoir le sens de l’Etat, c’était choisir, choisir sans tergiverser."" - @vpecresse #voeuxLibres pic.twitter.com/gE1ViGH39Z"
"Selon toute probabilité, des actes de malveillances graves visaient ce matin à perturber le trafic du #RERA & pourrir la journée de centaines de milliers de Franciliens. Je souhaite que leurs auteurs soient retrouvés et sanctionnés de manière exemplaire. http://www.lefigaro.fr/flash-actu/2019/02/05/97001-20190205FILWWW00031-des-produits-inflammables-sur-les-rails-du-rer-a.php …"
"Nous sommes en deuil avec les Parisiens, si douloureusement frappés par un incendie meurtrier cette nuit rue #Erlanger. Nos pensées vont aux 8 victimes, à leur famille et à leurs proches. Et notre reconnaissance va aux @PompiersParis encore une fois mobilisés pour les secourir"
À la région désormais + de 1000 télétravailleurs ont gagné en autonomie & en qualité de vie! Le télétravail rend en moyenne 2 heures/jour aux agents et ça les rend + productifs. Les faux prétextes de certains pour bloquer le mouvement doivent être confrontés à nos résultats... https://twitter.com/bfmtv/status/1091990786206564352 …
Zemmour invité à inspirer @lesRepublicains? Franchement...A-t-il été questionné sur sa vision de la femme?!  https://youtu.be/x3WZ5BDDNW4  via @YouTube
"La fierté d’être Francilien, elle se vit aussi dans le #sport. Cette année, 1000 collégiens seront accueillis en stage à la #RégionIDF pour devenir des « volontaires #JO2024 » pic.twitter.com/r1fNvbjvKs"
"Nous sommes fiers de diffuser la #culture partout, au plus près des Franciliens. Cette année, tous les lycées d’@iledefrance ont un programme culturel sous forme de leçons de littératures, de théâtre, de cinéclubs. #voeuxIDF pic.twitter.com/ZhWIJg97Y4"
"Notre #RégionSolidaire n’oublie pas non plus les invisibles, les femmes à la rue, qui sont cette année notre grande cause régionale. #voeuxIDF https://www.iledefrance.fr/toutes-les-actualites/la-region-ouvre-un-centre-d-hebergement-d-urgence-innovant-meres-enfants …"
