tweet
🖋 « PIG Metaleurop : l’Etat-parjure englué dans ses contradictions ! »  Mon communiqué : https://rassemblementnational.fr/communiques/pig-metaleurop-letat-parjure-englue-dans-ses-contradictions/ …
"📹 Proportionnelle intégrale, mise en place du référendum d'initiative populaire et dissolution de l'Assemblée nationale : voici mes préconisations au Président de la République pour résoudre cette crise de la représentativité que nous vivons. pic.twitter.com/yOvWh1Glsg"
"📹 « Le projet de fusion Alstom-Siemens était un véritable scandale. Pourquoi nos dirigeants passent-ils leur vie à brader les champions industriels français, donc à exproprier les Français ? C'est devenu systématique ! » #8h30Politique pic.twitter.com/17Ohx9DRWN"
"📹 « Le mouvement des #GiletsJaunes est né d'un ras-le-bol fiscal. Et quelle est la réponse du gouvernement ? La suppression de certaines niches fiscales, c'est-à-dire en réalité... une augmentation des impôts ! » #8h30Politique pic.twitter.com/XzvXj89L9Y"
"📹 « Je suis pour les référendums, mais je ne voudrais pas que le référendum envisagé par Emmanuel Macron soit en réalité une manœuvre de sa part... Il faut instaurer la proportionnelle pour répondre à la crise de représentativité dans notre pays ! » #8h30Politique pic.twitter.com/BXM7LrV7IM"
"📹 « A l'Assemblée, nous avons voté contre le texte de la ""#LoiAntiCasseurs"", car il est éminemment dangereux et menace nos grandes libertés individuelles. Ce n'est pas une loi anti-casseurs, c'est une loi anti-#GiletsJaunes ! » #8h30Politique pic.twitter.com/nI44PMkQBA"
📺📻 Je serai ce mercredi à 8h30 l’invitée de @franceinfo TV et radio. pic.twitter.com/5uy1crmcpy
"🖋 « Industrie de Défense, les Allemands bloquent nos exportations ! Dire que certains nous ont accusés de ""#FakeNews""… »  Mon communiqué :   https://rassemblementnational.fr/communiques/industrie-de-defense-les-allemands-bloquent-nos-exportations-dire-que-certains-nous-ont-accuses-de-fake-news/ … #AixLaChapelle"
"🙏🏻 Hommage aux sapeurs-pompiers de Paris, dont le courage et la ténacité ont permis d’éviter un bilan plus lourd encore, après le terrible #incendie de la rue Erlanger, dans le 16ème arrondissement. #Paris16  Toutes nos condoléances aux proches des victimes. MLP"
"Après la mise sous pression des plateformes via la loi « fake news », voilà envisagée la mise sous tutelle des médias traditionnels ! L’objectif est toujours le même : le triomphe de la pensée (jupitérienne) unique. Flippant ! MLP https://www.lepoint.fr/debats/gernelle-macron-ou-la-tentation-de-la-pravda-03-02-2019-2291045_2.php …"
📺 J’étais ce midi l’invitée de #BFMpolitique sur @BFMTV :  https://www.facebook.com/MarineLePen/videos/330785657533690/ … pic.twitter.com/vKB1oXc2Ox
"📹 « On ne peut pas voter la loi ""anti-casseurs"" avec la modification qui a été effectuée ! Cette loi ""anti-casseurs"" est devenue une loi ""anti-#GiletsJaunes"", transformée pour attenter à la liberté de manifestation. » #BFMPolitique pic.twitter.com/8TkyipJsnR"
"📹 « Envisager le retour des #djihadistes ""français"" est une décision que je considère comme criminelle à l'égard de la sécurité de nos compatriotes.  » #BFMPolitique pic.twitter.com/kd9fjC8lda"
"📹 « C'est #Macron, par l'intermédiaire de @CCastaner, qui laisse ces Black Blocs venir semer la perturbation, la violence, dans les manifestations ! » #BFMPolitique #GiletsJaunes pic.twitter.com/1pQrkXJ7hf"
📺 Je serai ce dimanche à 12h l’invitée de @BFMTV. #BFMPolitique pic.twitter.com/5xIBUpapnp
"Il y a un an, notre ami, eurodéputé et indéfectible militant Edouard Ferrand nous quittait.   Nous gardons en mémoire son combat de tous les instants pour la France. MLP pic.twitter.com/DDNmKH1y56"
🖋 Le Président reçoit aujourd’hui des élus ultramarins au palais de l’Elysée. Or nos compatriotes d’outre-mer sont en droit d’attendre autre chose que des belles phrases !  Rappel de notre programme concret pour l’Outre-Mer 👉🏻  https://rassemblementnational.fr/notre-programme-pour-loutre-mer/ …  https://rassemblementnational.fr/communiques/nos-compatriotes-doutre-mer-sont-en-droit-dattendre-autre-chose-que-des-belles-phrases/ …
"Après s’être déclaré « populiste », E. #Macron se déclare « gilet jaune ». Ça n’est plus de la fébrilité, c’est un naufrage.   On va décider d’en rire. MLP https://www.valeursactuelles.com/politique/emmanuel-macron-moi-aussi-je-suis-gilet-jaune-103556 …"
Vive la mondialisation ! Vive le commerce sans contrôle ! L’Union Européenne nuit gravement à la santé 🤢 MLP https://www.bfmtv.com/sante/viande-avariee-polonaise-800-kilos-retrouves-en-france-dans-9-entreprises-1624167.html …
Soyez convaincus que le système ne reculera devant rien pour se maintenir ! Bravo aux députés européens qui se sont opposés à cette basse manœuvre anti-démocratique et honte à ceux qui l’ont votée ! MLP https://enl-france.eu/les-europeistes-tentent-de-verrouiller-le-parlement-a-quatre-mois-des-elections/ …
Ils vont débattre de l’insécurité ? 😳 MLP https://www.lexpress.fr/actualite/societe/grand-debat-belloubet-favorable-aux-reunions-en-prison_2060195.html …
"Ministre, candidat, Président: Macron s’est toujours opposé à la déchéance de nationalité pour les djihadistes. L’application de cette mesure éviterait d’avoir à se préoccuper du sort des 130 djihadistes que Castaner veut désormais accueillir, parce qu’ils sont « Français » ! MLP pic.twitter.com/FE5KZ3L3D9"
"L’irresponsable Castaner prépare activement le retour de 130 djihadistes soi-disant français : face à cette forfaiture, je vous appelle à la mobilisation ! MLP  À signer et à partager 👉🏻  https://rassemblementnational.fr/non-au-retour-des-djihadistes-en-france/ … #NonAuRetourdesDjihadistes https://twitter.com/J_Bardella/status/1090321753770020865 …"
Mais ça c’était avant... MLP #djihadistes https://www.europe1.fr/politique/castaner-il-faudrait-dechoir-tout-terroriste-de-la-nationalite-francaise-2644491 …
"« Ce sont d’abord des Français avant d’être des djihadistes. »  Non @CCastaner ! 😡  Ce sont des djihadistes, ils ne devraient donc plus être Français. MLP https://twitter.com/stephane_ravier/status/1090178746164875265 …"
"Encore un exemple de la perte de souveraineté du peuple français : l’UE interdit les baisses de la TVA sur les produits de première nécessité en dessous du seuil de 5%. Le 26 mai, rappelez-leur qui décide en France ! MLP #Européennes2019"
"Ce qui est arrivé aujourd'hui à Jérôme Rodrigues doit interroger tous les républicains.   Les Français aspirent à l'ordre, mais l'ordre ce n'est pas la mutilation des opposants politiques et l'usage irraisonnée de la force par le pouvoir macronien. MLP #ActeXI #GiletsJaunes"
"Soutien à @matteosalvinimi !   Honte à ces juges politisés qui le poursuivent pour « séquestration » et veulent l’empêcher de mettre fin à la submersion migratoire de son pays, en stoppant les débarquements de #migrants.  Seul le peuple italien décide ! MLP #SalviniNonMollare https://twitter.com/matteosalvinimi/status/1088447132313411586 …"
"📹 « Est-ce que @Cyrilhanouna aurait accepté de co-animer son émission avec quelqu'un du RN ? Quant à Mme Schiappa, elle a l'indignation sélective: je ne l'entends pas quand des femmes d'un autre camp sont attaquées, par exemple Charlotte d'Ornellas. » #Punchline @CNEWS pic.twitter.com/2WvSIFtoua"
"📹 « Sur le fond, objectivement, cela ne choque personne que le traité d'#AixLaChapelle, comme le #PacteDeMarrakech, soit négocié sans que personne ne soit au courant ? » #Punchline @CNEWS pic.twitter.com/DQY9DTT398"
"📹 « Je considère que le traité d'#AixLaChapelle est une véritable épouvante. [...] Oui, il y a des abandons de souveraineté et des problèmes de constitutionnalité dans ce traité ! » #Punchline @CNEWS pic.twitter.com/kVfrwDhHov"
"Pitoyable ""opposition"" LR, qui caricature nos arguments sur le funeste traité d'#AixLaChapelle et fait le service après-vente du macronisme.   Macron tient LR en laisse ! MLP https://twitter.com/laurentwauquiez/status/1088008158461784065 …"
"Voilà ! On y est ! En désaccord avec « En Marche », on se fait menacer de prison. Ces gens sont très très inquiétants ! MLP https://twitter.com/EmMetzMetropole/status/1087751801011666944 …"
📺 Je serai aujourd’hui à 19h l’invitée de @CNEWS. pic.twitter.com/2DlTJfXxFe
Donc en résumé : Ceux qui ne sont pas d'accord avec le traité d'#AixLaChapelle sont les complices des nazis...  Emmanuel Macron a-t-il perdu totalement le sens de la mesure ? MLP https://twitter.com/EmmanuelMacron/status/1087668949330939904 …
"Est-ce le rôle du compte officiel de l’Elysée de faire la promotion de Google, qui échappe à l’impôt en France via l’optimisation fiscale ?   C’est la façon qu’a le gouvernement de lutter contre l’évasion fiscale et les milliards qu’elle coûte chaque année à la France ? MLP https://twitter.com/Elysee/status/1087421299939524609 …"
"Des voix s’élèvent, d’universitaires reconnus, qui dénoncent eux aussi des abandons graves de notre souveraineté. On ne se taira pas ! MLP #AixLaChapelle https://twitter.com/MLP_officiel/status/1087656934281494529 …"
"L’excitation de certains Ministres et de certains journalistes qui relayent, avec une agressivité inouïe, les éléments de langage de l’Élysée sur  le traité d’#AixLaChapelle prouve que nous avons mis le doigt là où ça fait mal."
"Je partage totalement cette analyse et pense, qu’en effet, le Conseil constitutionnel doit être saisi. MLP #AixLaChapelle http://www.lefigaro.fr/vox/monde/2019/01/21/31002-20190121ARTFIG00281-le-traite-d-aix-la-chapelle-affecte-la-souverainete-nationale.php …"
"✍🏻 « Converger autant avec l’Allemagne, c’est une trahison ! »   Suite à mon intervention devant la Fondation Spinoza hier à #Genève, retrouvez mon entretien avec le journal suisse @letemps :   https://www.letemps.ch/monde/marine-pen-converger-autant-lallemagne-cest-une-trahison … #AixLaChapelle"
