tweet
"Parce qu’on ne lâche pas, parce que la fermeture de l’usine reste inacceptable, parce qu’on ne veut pas se retrouver dans la galère du chômage, la bataille continue notamment avec le concert de solidarité du samedi 2 mars. pic.twitter.com/D4sjsmOIJG"
Italie : Le #SeaWatch 3 bloqué par le gouvernement d’extrême droite  https://npa2009.org/actualite/international/italie-le-sea-watch-3-bloque-par-le-gouvernement-dextreme-droite … #immigration
Loi antimanifs : le glissement autoritaire du pouvoir se poursuit  https://npa2009.org/communique/loi-antimanifs-le-glissement-autoritaire-du-pouvoir-se-poursuit … pic.twitter.com/dkyqclJXHw
#Répression : « Le #GrandDébat avec un #LBD sur la tempe » https://npa2009.org/actualite/societe/repression-le-grand-debat-avec-un-lbd-sur-la-tempe …
"Depuis le 14 janvier, les agentsE et les médecins du service des #urgences du Centre hospitalier de #SaintMalo sont en grève illimitée. https://npa2009.org/actualite/entreprises/urgence-aux-urgences-de-saint-malo …"
"#Venezuela : #Macron, l’ami des putschistes https://npa2009.org/actualite/international/venezuela-macron-lami-des-putschistes …"
"Pour nos salaires, pour dégager Macron, construisons la grève générale  https://npa2009.org/agir/politique/pour-nos-salaires-pour-degager-macron-construisons-la-greve-generale … #GiletsJaunes #greve5fevrier"
Après les élections de mi-mandat aux #ÉtatsUnis : #Trump entre espoirs et déboires https://npa2009.org/idees/international/apres-les-elections-de-mi-mandat-aux-etats-unis-trump-entre-espoirs-et-deboires …
"“Les Gilets Jaunes ont décidé de se joindre la grève du 5 février. Nous voyons dans cette convergence une possibilité de victoire sociale majeure, en permettant un mouvement d’ensemble durable et reconductible.” https://npa2009.org/actualite/politique/macron-doit-ceder-aux-exigences-des-gilets-jaunes-et-du-mouvement-social-appel …"
"L’attitude des forces de police a changé du tout au tout à 16 h 30. Les manifestants (et les passants...) qui ne veulent pas s’en aller sont alors considérés comme des délinquants... La chasse aux manifestants, assimilés à des « casseurs » commence alors. https://npa2009.org/actualite/politique/chasse-aux-manifestants-toulouse …"
"Pour une loi d’urgence anti-casseurs d’emplois. En direct de la manif Gilets Jaunes, actes 12. Jusqu’ici tout va bien ! pic.twitter.com/y1ODMDbaNN"
"Face à une contestation sociale profonde, le pouvoir répond par la répression au nom du maintien de l’ordre « républicain ». Il s’agit d’un ordre injuste, violent et anti-démocratique que nous ne voulons pas. Si défendre sa vie ça perturbe l’ordre actuel alors il faut le changer."
"#Ford Blanquefort : PSE non homologué, la bataille peut continuer https://npa2009.org/actualite/social-autres/ford-blanquefort-pse-non-homologue-la-bataille-peut-continuer …"
"Le gouvernement propose en urgence une loi anti-casseurs (anti-manif?). Et pourquoi pas une loi anti-casseurs d’emplois en urgence aussi ? La liste est longue : Ford, Arjowiggins, Bic, ACC, Bultex, Ascoval et tant d’autres actuellement. Cest beaucoup plus violent et destructeur."
