tweet
La visite de la maison d’Aimé Césaire à Fort-de-France nous rappelle que son message d’émancipation est toujours aussi actuel #GIPMémoiredelEsclavage
Aujourd’hui visite émouvante du Mémorial ACTe à Pointe-à-Pitre. Cette réalisation est un acte fondateur qui nous oblige. #MémorialACTe #GIPMémoiredelEsclavage
"« Mon ambition, c’est que la Fondation soit une réussite ». Interview ce jour dans @FranceAntilles, qui revient sur les enjeux du #GIP sur la mémoire de l’esclavage et nos priorités des prochains mois. pic.twitter.com/5G3wTEGl4n"
"Solidarité avec les journalistes victimes de violence, défendre la liberté de la presse, c’est défendre la démocratie @Lci"
Soutien à @JFMBAYE @Herveberville et @LaetitiaAvia victimes d'abjectes insultes racistes qui dégradent la République et salissent la France
"2019, année de la création de la Fondation pour la mémoire de l’esclavage: plus que jamais nous avons besoin de nous réunir autour d’une mémoire partagée avec l’exigence de justice et de fraternité. Bonne année à toutes et à tous ✨"
"#LaRéunion #170eanniversaire de l’abolition de l’#esclavage : Que l’esprit du #20décembre continue de nous inspirer, qu’il nous aide à nous comprendre mieux, à écouter davantage, à être plus solidaires, pour une France plus forte, plus unie et plus juste #Fetkaf"
"#LaRéunion #170eanniversaire #Abolitiondelesclavage : nous voulons raconter une histoire de France + riche qui n’en parle pas seult comme d’un hexagone mais qui montre combien,depuis 4 siècles,son destin est lié à l’Afrique,aux Amériques,aux Caraïbes et à l’Océan Indien #fetkaf"
"Strasbourg, capitale de Noël, touchée en plein coeur... tout mon soutien aux Strasbourgeois  et aux forces de l’ordre"
"A Dakar aujourd’hui, pour l’inauguration du Musée des civilisations noires."
"Avec Christiane Taubira, en conclusion des premiers ateliers de la Fondation pour la mémoire de l’esclavage. Une ambition partagée pour une mémoire qui rassemble et nous rend plus forts ensemble pic.twitter.com/HlvW40nwGn"
"Ce jour, ma tribune dans Le Monde sur les enjeux de la Fondation pour la mémoire de l'esclavage https://www.lemonde.fr/afrique/article/2018/11/23/jean-marc-ayrault-en-france-la-trace-toujours-brulante-de-l-esclavage_5387274_3212.html …"
"J’étais l’invité de « Et si on en parlait ? » sur #RadioOrient, émission où je reviens sur mon engagement comme Président de la Fondation pour la mémoire de l’esclavage #AbolitionEsclavage https://www.radioorient.com/podcasts/et-si-on-en-parlait-jean-marc-ayrault-esclavage-23087 …"
